project_name,rera_id,promoter_name,district,project_type,developer_name,locality,city,land_area,number_of_towers,number_of_floors,total_units,unit_types,unit_sizes,project_status,possession_date,price_range,is_high_rise,source_url_99acres,faq_url_99acres,extraction_source
ARIHANT SEASONS,UPRERAPRJ974543/02/2026,"Promoter

Arihant Urban Space Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Ashtech Presidential Towers,UPRERAPRJ746615/10/2025,"Promoter

Ashtech Industries Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,https://www.99acres.com/ashtech-presidential-towers-sector-12-greater-noida-west-greater-noida-npxid-r443521,https://www.99acres.com/ashtech-faqs-presidential-towers-sector-12-greater-noida-west-greater-noida-npxid-r443521,
Assotech Celeste Towers,UPRERAPRJ6098,"Promoter

ASSOTECHLIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Assotech Windsor Court Phase-I & II,UPRERAPRJ6078,"Promoter

ASSOTECHLIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
ATS DESTINAIRE,UPRERAPRJ417134,"Promoter

ATS Grand Realtors Private Limited
STARCITY BUILDCON PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
ATS DOLCE,UPRERAPRJ3774,"Promoter

Domus Greens Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,https://www.99acres.com/ats-dolce-reviews-ratings-sector-zeta-1-greater-noida-npxid-r20086,https://www.99acres.com/ats-faqs-dolce-reviews-ratings-sector-zeta-1-greater-noida-npxid-r20086,
ATS Kingston Heath,UPRERAPRJ180413,"Promoter

CELERITY INFRASTRUCTURE PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
ATS Knightsbridge,UPRERAPRJ3574,"Promoter

ATS HEIGHTS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
ATS LE GRANDIOSE PHASE-2,UPRERAPRJ14316,"Promoter

Nobility Estates Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,https://www.99acres.com/ats-le-grandiose-sector-150-noida-npxid-r173041,https://www.99acres.com/ats-faqs-le-grandiose-sector-150-noida-npxid-r173041,
ATS LE GRANDIOSE -PHASE-I,UPRERAPRJ3250,"Promoter

Nobility Estates Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
ATS Picturesque Reprieves Phase 2,UPRERAPRJ396176,"Promoter

ATS HOMES PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,https://www.99acres.com/ats-picturesque-reprieves-facilities-sector-152-noida-npxid-r269397,https://www.99acres.com/ats-faqs-picturesque-reprieves-facilities-sector-152-noida-npxid-r269397,
ATS Picturesque Reprieves Phase 1,UPRERAPRJ631,"Promoter

ATS HOMES PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,https://www.99acres.com/ats-picturesque-reprieves-sector-152-noida-npxid-r269397,https://www.99acres.com/ats-faqs-picturesque-reprieves-sector-152-noida-npxid-r269397,
ATS PRISTINE GOLF VILLAS ( Phase -1 ),UPRERAPRJ3796,"Promoter

CELERITY INFRASTRUCTURE PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,N/A (Plotted),,,,,,,,,,,
ATS PRISTINE-PHASE-II,UPRERAPRJ2875,"Promoter

ATS Housing Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
AVS ORCHARD,UPRERAPRJ7336,"Promoter

AVP BUILDTECH (P) LTD.",Gautam Buddha Nagar,Residential,,,,,,,,"2,3 BHK",,Ready to move,,,,https://www.99acres.com/avs-orchard-sector-77-noida-npxid-r35394,https://www.99acres.com/avs-faqs-orchard-sector-77-noida-npxid-r35394,DDG Snippet
AVS ORCHID (H Tower),UPRERAPRJ11260,"Promoter

PERFECT PROPBUILD PVT LTD (ANTRIKSH GROUP)",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
AWHO GURJINDER VIHAR PHASE-IV,UPRERAPRJ4197,"Promoter

ARMY WELFARE HOUSING ORGANISATION",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"aypee Greens Pavilion Courts & Heights (Phase II),",UPRERAPRJ3914,"Promoter

Jaiprakash Associates Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Bally Hai,UPRERAPRJ6312,"Promoter

SEIKOM INFRACOM PVT LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
BEETLE LAP (PHASE I),UPRERAPRJ6938,"Promoter

ROYAL HOMETOWN PLANNERS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
BEETLE LAP (PHASE II),UPRERAPRJ7022,"Promoter

ROYAL HOMETOWN PLANNERS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,2 BHK,,Ready to move,,,,https://www.99acres.com/royal-hometown-beetle-lap-yamuna-expressway-greater-noida-npxid-r32210,https://www.99acres.com/royal-faqs-hometown-beetle-lap-yamuna-expressway-greater-noida-npxid-r32210,DDG Snippet
"BEETLE ORCHID
- This project has been completed.",UPRERAPRJ14205,"Promoter

Yuvraj Infra Venture Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
BELVEDERE (Phase - 2: Tower E F & G),UPRERAPRJ4480,"Promoter

Sequel Buildcon Pvt. Ltd",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
BELVEDERE (Phase-1: Tower A B C & D),UPRERAPRJ4397,"Promoter

Sequel Buildcon Pvt. Ltd",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
BHS-12/13 ETA-II GH-1A/1,UPRERAPRJ9728,"Promoter

GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
BHS-14 EWS XU-3,UPRERAPRJ10006,"Promoter

GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
BHS-16 MU-II,UPRERAPRJ9651,"Promoter

GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
BHS-16 SECTOR-10,UPRERAPRJ9684,"Promoter

GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
BHS-17 LOHIYA ENCLAVE OMICRON-1A,UPRERAPRJ9632,"Promoter

GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
BHS-17 LOHIYA ENCLAVE SECTOR-12,UPRERAPRJ9565,"Promoter

GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"BHS-17, LOHIYA ENCLAVE, PLOT NO-GH-03A, OMICRON-1",UPRERAPRJ8764,"Promoter

GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY",Gautam Buddha Nagar,Residential,,,,,N/A (Plotted),,,,,,,,,,,
Bhutani 18,UPRERAPRJ335396/01/2026,"Promoter

Goodliving Infrastructure Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
