project_name,rera_id,promoter_name,district,project_type,developer_name,locality,city,land_area,number_of_towers,number_of_floors,total_units,unit_types,unit_sizes,project_status,possession_date,price_range,is_high_rise,source_url_99acres,faq_url_99acres,extraction_source
LEGACY BY GAURS,UPRERAPRJ688396/10/2024,"Promoter

GOLF HORIZON LLP",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,https://www.99acres.com/legacy-by-gaurs-jaypee-greens-greater-noida-npxid-r434532,https://www.99acres.com/legacy-faqs-by-gaurs-jaypee-greens-greater-noida-npxid-r434532,
LIG ZONE I(L01 - LO6),UPRERAPRJ5490,"Promoter

M/s Uttam Steels & Associates { Consortium) throug
ANSAL HI-TECH TOWNSHIPS LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
LIG ZONE-3 (Tower L-19 to L-36),UPRERAPRJ5578,"Promoter

M/s Uttam Steels & Associates { Consortium) throug
ANSAL HI-TECH TOWNSHIPS LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
LIG ZONE-II(L07 - L18),UPRERAPRJ5491,"Promoter

M/s Uttam Steels & Associates { Consortium) throug
ANSAL HI-TECH TOWNSHIPS LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
LORDS,UPRERAPRJ10636,"Promoter

KINDLE DEVELOPERS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,https://www.99acres.com/shri-durga-lords-residency-engineers-enclave-dehradun-npxid-r121627,https://www.99acres.com/shri-faqs-durga-lords-residency-engineers-enclave-dehradun-npxid-r121627,
"LOTUS 300 (TOWER 3-6, CLUB AND COMMERCIAL BUILDING",UPRERAPRJ6828,"Promoter

HACIENDA PROJECTS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Lotus Arena,UPRERAPRJ5409,"Promoter

ARENA SUPERSTRUCTURES PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Lotus Arena II,UPRERAPRJ5388,"Promoter

Piyush IT Solutions Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"LOTUS BOULEVARD ESPACIA (TOWER 37-38, CLUB AND COM",UPRERAPRJ9290,"Promoter

CLOUD 9 PROJECTS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
LOTUS BOULEVARD ESPACIA TOWER 31,UPRERAPRJ9295,"Promoter

CLOUD 9 PROJECTS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"LOTUS BOULEVARD T-28, T-29 AND T-30",UPRERAPRJ6450,"Promoter

GRANITE GATE PROPERTIES PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
LOTUS CITY (PLOTTED TOWNSHIP),UPRERAPRJ9679,"Promoter

THREE C HOMES PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,N/A (Plotted),,,,,,,,,,,
LOTUS ISLE (RESIDENTIAL),UPRERAPRJ5442,"Promoter

THREE C PROPERTIES PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"LOTUS PANACHE (TOWER 1-4, 14-31, CLUB AND COMMERCI",UPRERAPRJ9275,"Promoter

GRANITE GATE PROPERTIES PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
LOTUS YARDSCAPE PHASE I,UPRERAPRJ5968,"Promoter

Three C Green Developers Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"LOTUS ZING (TOWER 3-14), CLUB AND COMMERCIAL BUILD",UPRERAPRJ7064,"Promoter

THREE C PROJECTS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Mahagun Manorial,UPRERAPRJ2051,"Promoter

MAHAGUN (INDIA) PVT. LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
MAHAGUN MANTRA 1,UPRERAPRJ1846,"Promoter

DHANYA PROMOTERS PRIVATE LIMITED (MAHAGUN GROUP)",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
MAHAGUN MANTRA II,UPRERAPRJ1870,"Promoter

Hebe Infrastructure Private Limited (MAHAGUN GROU",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Mahagun Meadows,UPRERAPRJ1670,"Promoter

LOGIX HEIGHTS PVT. LTD (MAHAGUN GROUP)",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Mahagun Medalleo,UPRERAPRJ125561,"Promoter

Mahagun Infratech Private Limited
MAHAGUN INFRATECH PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Mahagun Mezzaria,UPRERAPRJ3306,"Promoter

NEXGEN INFRACON PVT. LTD (MAHAGUN GROUP)",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Mahagun Mirabella,UPRERAPRJ1866,"Promoter

Golfgreen Infra Pvt. Ltd.(MAHAGUN GROUP)",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Mahagun My Laagoon Phase 1,UPRERAPRJ999197/09/2024,"Promoter

Aura Infrabiz LLP
LOTUS SRS BUILDTECH PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
MAHAGUN MYWOODS,UPRERAPRJ3330,"Promoter

MAHAGUN (INDIA) PVT. LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Mangalya Ophira,UPRERAPRJ6418,"Promoter

MANGALYA BUILDTECH PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
MANORATH,UPRERAPRJ6258,"Promoter

MASCOT HOMES PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
MAXBLIS GRAND KINGISTON,UPRERAPRJ4737,"Promoter

MAXBLIS CONSTRUCTION PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
MAXBLIS GRAND WELLINGTON,UPRERAPRJ4675,"Promoter

MAXBLIS CONSTRUCTION PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
MAXBLIS WHITE HOUSE (PHASE III),UPRERAPRJ7418,"Promoter

MAXBLIS CONSTRUCTION PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
MAXBLIS WHITE HOUSE II,UPRERAPRJ9906,"Promoter

MAXBLIS CONSTRUCTION PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Mayfair Residency,UPRERAPRJ852,"Promoter

SUPER CITY DEVELOPERS PVT LTD
AVINYA REALTECH INDIA PVT LIMITED-MILAN GROUP",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Meghdutam Encore,UPRERAPRJ8057,"Promoter

PALM DEVELOPERS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
MIGSUN GREEN MANSION,UPRERAPRJ9784,"Promoter

MAHALUXMI BUILDTECH LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Migsun Jorbagh (Formerly The Hemisphere_Phase-2_Expa Villas),UPRERAPRJ15474,"Promoter

Royalgolf link city projects private limited",Gautam Buddha Nagar,Residential,,,,,N/A (Plotted),,,,,,,,,,,
MIGSUN TWIINZ (Formerly know as MIGSUN WYNN),UPRERAPRJ2769,"Promoter

S. J. P. HOTELS & RESORTS PVT LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
MIGSUN ULTIMO,UPRERAPRJ2679,"Promoter

MAHALUXMI INFRAHOME PVT LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
MIGSUN VILAASA,UPRERAPRJ16612,"Promoter

YAMUNA BUILTECH PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Mirage Phase I,UPRERAPRJ3142,"Promoter

Imperia Structures Ltd",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Mirage Phase II,UPRERAPRJ4008,"Promoter

Imperia Structures Ltd",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Morpheus Bluebell,UPRERAPRJ11705,"Promoter

Morpheus Prodevelopers Pvt Ltd",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Morpheus Pratiksha,UPRERAPRJ7881,"Promoter

MorpheusDevelopers Pvt Ltd
SRK BUILDWELL PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
NCR MONARCH,UPRERAPRJ4790,"Promoter

M/S JSS BUILDCON PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
NEOTOWN PHASE-1,UPRERAPRJ7003,"Promoter

PATEL ADVANCE JV",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
NEOTOWN PHASE-2,UPRERAPRJ7256,"Promoter

PATEL ADVANCE JV",Gautam Buddha Nagar,Residential,,,,24 acres,,,3500,3 BHK,,Ready to move,,,,https://www.99acres.com/patel-neotown-techzone-4-greater-noida-west-greater-noida-npxid-r14592,https://www.99acres.com/patel-faqs-neotown-techzone-4-greater-noida-west-greater-noida-npxid-r14592,DDG Snippet
NEOTOWN PHASE-3,UPRERAPRJ7327,"Promoter

PATEL ADVANCE JV",Gautam Buddha Nagar,Residential,,,,24 acres,,,3500,3 BHK,,Ready to move,,,,https://www.99acres.com/patel-neotown-techzone-4-greater-noida-west-greater-noida-npxid-r14592,https://www.99acres.com/patel-faqs-neotown-techzone-4-greater-noida-west-greater-noida-npxid-r14592,DDG Snippet
"NEOWORLD ( PHASE-1 TOWER-D, E &F)",UPRERAPRJ4124,"Promoter

LOGIX INFRA DEVELOPERS PVT.LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"NEOWORLD ( PHASE-2 TOWER- A , B & G)",UPRERAPRJ4612,"Promoter

LOGIX INFRA DEVELOPERS PVT.LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
NIMBUS THE PALM VILLAGE,UPRERAPRJ558356/04/2024,"Promoter

IITL- NIMBUS THE PALM VILLAGE",Gautam Buddha Nagar,Residential,,,,,N/A (Plotted),,,,,,,,,,,
NIRALA ASPIRE PH1 (A1 TO A8 & D1 TO D5),UPRERAPRJ4730,"Promoter

NIRALA HOUSING PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"NIRALA ASPIRE PHASE-II (B1 TO B10, B12 , B14)",UPRERAPRJ783018,"Promoter

G3 ASPIRE NIRALA GOLD LLP
NIRALA HOUSING PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"NIRALA ASPIRE PH-IV (B11, B15 to B23)",UPRERAPRJ508551,"Promoter

IRESH NIRALA GOLD PROJECTS LLP
NIRALA HOUSING PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,18,,,3 BHK,,Ready to move,,,,https://www.99acres.com/nirala-aspire-sector-16-greater-noida-npxid-r1149,https://www.99acres.com/nirala-faqs-aspire-sector-16-greater-noida-npxid-r1149,DDG Snippet
"Nirala Estate Phase-II
- This project has been completed.",UPRERAPRJ519100,"Promoter

NIRALA INFRATECH PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"NIRALA ESTATE PHASE-III
- This project has been completed.",UPRERAPRJ265789,"Promoter

NIRALA INFRATECH PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"NIRALA ESTATE PHASE-IV
- This project has been completed.",UPRERAPRJ617209,"Promoter

NIRALA INFRATECH PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
NIRALA ESTATE PHASE-V,UPRERAPRJ788191,"Promoter

NIRALA INFRATECH PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"NIRALA GREENSHIRE PH-1 (G6-G12,G14)",UPRERAPRJ4975,"Promoter

NIRALA PROJECTS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,2 BHK,,Ready to move,,,,https://www.99acres.com/nirala-greenshire-sector-2-greater-noida-npxid-r6408,https://www.99acres.com/nirala-faqs-greenshire-sector-2-greater-noida-npxid-r6408,DDG Snippet
NIRALA GREENSHIRE PH-II,UPRERAPRJ120088,"Promoter

NIRALA PROJECTS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,2 BHK,,Ready to move,,,,https://www.99acres.com/nirala-greenshire-phase-2-sector-2-greater-noida-npxid-r419796,https://www.99acres.com/nirala-faqs-greenshire-phase-2-sector-2-greater-noida-npxid-r419796,DDG Snippet
Nirala Trio,UPRERAPRJ707952,"Promoter

NIRALA WORLD RESIDENCY PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Nobility,UPRERAPRJ284035,"Promoter

Homekraft Infra Private Limited
VTECH BUILDCON PVT. LTD.",Gautam Buddha Nagar,Residential,,,,4.94 acres,,,,,,,,,,https://www.99acres.com/ats-nobility-sector-4-greater-noida-npxid-r333811,https://www.99acres.com/ats-faqs-nobility-sector-4-greater-noida-npxid-r333811,DDG Snippet
NOIDA WORLD ONE - PHASE 5,UPRERAPRJ11643,"Promoter

CBS INTERNATIONAL PROJECTS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"NORTHWIND SANCTUARY Plot No. 7, Sector-PI, Gr. Noida",UPRERAPRJ798312/05/2025,"Promoter

NORTHWIND ESTATES PRIVATE LIMITED
ASSOTECH INFRASTRUCTURE PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,N/A (Plotted),,,,,,,,,,,
NOVENA GREEN,UPRERAPRJ8646,"Promoter

D S D HOMES PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
NXONE - HIVE,UPRERAPRJ199977/02/2025,"Promoter

S.P.SAI.IT.PVT. LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
OASIS GRANDSTAND ( PHASE 1),UPRERAPRJ6908,"Promoter

OASIS REALTECH PVT LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
OASIS GRANDSTAND PHASE-2,UPRERAPRJ585804/01/2025,"Promoter

OASIS REALTECH PVT LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
OASIS VENETIA HEIGHTS,UPRERAPRJ1646,"Promoter

OASIS BUILDMART INDIA PVT LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
OPULENCE PHASE A,UPRERAPRJ483588,"Promoter

SAHA ESTATE DEVELOPERS PRIVATE LIMITED
WISH LAND BUILD ZONE PVT. LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
OPULENCE PHASE-I,UPRERAPRJ376920,"Promoter

SAHA ESTATE DEVELOPERS PRIVATE LIMITED
WISH LAND BUILD ZONE PVT. LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
ORIZZONTE (RESIDENTIAL),UPRERAPRJ12539,"Promoter

Concept Horizon Infra Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Page 3 Noida,UPRERAPRJ819615/01/2026,"Promoter

PAGE3 BUILDTECH PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"PAGE THREE RESIDENCES
- This project has been completed.",UPRERAPRJ16264,"Promoter

HOME AND SOUL INFRATECH PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PALM AASHIYANA,UPRERAPRJ15563,"Promoter

ADR HOMES",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PALM OLYMPIA PH 2,UPRERAPRJ308567,"Promoter

Sam India Abhimanyu Housing",Gautam Buddha Nagar,Residential,,,,,,,,"2,3,4 BHK",,Under Construction,,,,https://www.99acres.com/sam-palm-olympia-phase-2-and-3-sector-16c-greater-noida-npxid-r414540,https://www.99acres.com/sam-faqs-palm-olympia-phase-2-and-3-sector-16c-greater-noida-npxid-r414540,DDG Snippet
Palm Olympia PH 3,UPRERAPRJ409115/09/2024,"Promoter

Sam India Abhimanyu Housing",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PALM VALLEY,UPRERAPRJ15466,"Promoter

LUCKY WEALTH CONSTRUCTION PVT LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Panchsheel Greens,UPRERAPRJ4386,"Promoter

Panchsheel Buildtech Pvt. Ltd.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"PANCHSHEEL GREENS - II (TOWER - D1,D2& E5)",UPRERAPRJ8592,"Promoter

Panchsheel Buildtech Pvt. Ltd.",Gautam Buddha Nagar,Residential,,,,26 acres,,,,3 BHK,,,,,,"https://www.99acres.com/panchsheel-greens-2-greater-noida-west-npxid-r1084?advertiserIds=49226636,12865529,7181503,40424621,69632842","https://www.99acres.com/panchsheel-faqs-greens-2-greater-noida-west-npxid-r1084?advertiserIds=49226636,12865529,7181503,40424621,69632842",DDG Snippet
"PANCHSHEEL GREENS - II (TOWER - E6,E7,D3 &D4)",UPRERAPRJ8595,"Promoter

Panchsheel Buildtech Pvt. Ltd.",Gautam Buddha Nagar,Residential,,,,26 acres,,,,"2,3,4 BHK",,Ready to move,,,,"https://www.99acres.com/panchsheel-greens-2-greater-noida-west-npxid-r1084?advertiserIds=49226636,12865529,7181503,40424621,69632842","https://www.99acres.com/panchsheel-faqs-greens-2-greater-noida-west-npxid-r1084?advertiserIds=49226636,12865529,7181503,40424621,69632842",DDG Snippet
"PANCHSHEEL GREENS - II (TOWER-C1 TO C4,188 VILLAS)",UPRERAPRJ8574,"Promoter

Panchsheel Buildtech Pvt. Ltd.",Gautam Buddha Nagar,Residential,,,,,N/A (Plotted),,,,,,,,,,,
"PANCHSHEEL GREENS -II (TOWER - A1 TO A6,B1 TO B7)",UPRERAPRJ8547,"Promoter

Panchsheel Buildtech Pvt. Ltd.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"PANCHSHEEL GREENS PHASE - 1 (B1 TO B3,F4 TO F6 & C",UPRERAPRJ8832,"Promoter

Panchsheel Buildtech Pvt. Ltd.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"PANCHSHEEL GREENS-II(TOWER - E1 TO E4,COMMERCIAL,N",UPRERAPRJ8584,"Promoter

Panchsheel Buildtech Pvt. Ltd.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PANCHSHEEL HYNISH PHASE -1 (TOWER-T8 &T9),UPRERAPRJ8533,"Promoter

Panchsheel Buildtech Pvt. Ltd.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PANCHSHEEL HYNISH PHASE -3 (TOWER - T12),UPRERAPRJ8545,"Promoter

Panchsheel Buildtech Pvt. Ltd.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PANCHSHEEL HYNISH PHASE-2(TOWER- T10 & T11),UPRERAPRJ8538,"Promoter

Panchsheel Buildtech Pvt. Ltd.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PANCHSHEEL PINNACLE PHASE - 1 (TOWER - F2 & F3) PA,UPRERAPRJ8845,"Promoter

Panchsheel Buildtech Pvt. Ltd.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PANCHSHEEL PINNACLE PHASE-2 (TOWER F1)PART OF PANC,UPRERAPRJ8855,"Promoter

Panchsheel Buildtech Pvt. Ltd.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PANCHSHEEL PRATISTHA PHASE - 1(TOWER - T4 TO T7),UPRERAPRJ8603,"Promoter

Valuent Infradevelopers Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"PANCHSHEEL PRATISTHA PHASE - 2 (TOWER T1 TO T3 , C",UPRERAPRJ8612,"Promoter

Valuent Infradevelopers Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PANCHSHEEL PRATISTHA PHASE - 3 (TOWER - T8),UPRERAPRJ8614,"Promoter

Valuent Infradevelopers Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PANCHTATVA PHASE-1,UPRERAPRJ6339,"Promoter

SANJEEV KUMAR",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Paradise Crystal Zone I (N&O),UPRERAPRJ4884,"Promoter

M/s Uttam Steels & Associates { Consortium) throug
ANSAL HI-TECH TOWNSHIPS LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"Paradise Crystal Zone II (A, M, P & Q)",UPRERAPRJ5001,"Promoter

M/s Uttam Steels & Associates { Consortium) throug
ANSAL HI-TECH TOWNSHIPS LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Paramount Emotions,UPRERAPRJ3950,"Promoter

Paramount Propbuild Pvt. Ltd.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
park avenue,UPRERAPRJ6511,"Promoter

AIG INFRATECH INDIA PVT LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PARSVNATH PALACIA PHASE-I,UPRERAPRJ6091,"Promoter

PARSVNATH DEVELOPERS LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PARSVNATH PALACIA PHASE-II,UPRERAPRJ6095,"Promoter

PARSVNATH DEVELOPERS LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PARSVNATH PRIVILEGE PHASE-1,UPRERAPRJ6060,"Promoter

PARSVNATH DEVELOPERS LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PARSVNATH PRIVILEGE PHASE-II,UPRERAPRJ6067,"Promoter

PARSVNATH DEVELOPERS LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PARSVNATH PRIVILEGE PHASE-III,UPRERAPRJ6076,"Promoter

PARSVNATH DEVELOPERS LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PARSVNATH PRIVILEGE PHASE-IV,UPRERAPRJ6081,"Promoter

PARSVNATH DEVELOPERS LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PARX LAUREATE,UPRERAPRJ5998,"Promoter

LAUREATE BUILDWELL PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PATHWAY HOMES,UPRERAPRJ16444,"Promoter

MAYANK JAIN",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Pebble Court,UPRERAPRJ2623,"Promoter

Jaypee Infratech Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PEBBLES PROLEASE PVT LTD (HEARTBEAT CITY,UPRERAPRJ13913,"Promoter

ASHISH BAJPAI",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PEBBLES PROLEASE PVT. LTD. ( HEARTBEAT CITY-II),UPRERAPRJ12190,"Promoter

DEVENDER KUMAR JAIN",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PIOUS HIDEAWAYS,UPRERAPRJ442430,"Promoter

Homekraft Infra Private Limited
FEST HOMES DEVELOPERS PVT. LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Pious Orchards,UPRERAPRJ183246,"Promoter

Homekraft Infra Private Limited
FEST HOMES DEVELOPERS PVT. LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"PLOT ZONE I (3B, 4A, 4B)",UPRERAPRJ10475,"Promoter

M/s Uttam Steels & Associates { Consortium) throug
ANSAL HI-TECH TOWNSHIPS LTD",Gautam Buddha Nagar,Residential,,,,,N/A (Plotted),,,,,,,,,,,
PLOT ZONE II (3A 3C 4C),UPRERAPRJ11035,"Promoter

M/s Uttam Steels & Associates { Consortium) throug
ANSAL HI-TECH TOWNSHIPS LTD",Gautam Buddha Nagar,Residential,,,,,N/A (Plotted),,,,,,,,,,,
"PLOT ZONE III(2A,2B)",UPRERAPRJ11033,"Promoter

M/s Uttam Steels & Associates { Consortium) throug
ANSAL HI-TECH TOWNSHIPS LTD",Gautam Buddha Nagar,Residential,,,,,N/A (Plotted),,,,,,,,,,,
"PLOT ZONE IV(5,6,1A)",UPRERAPRJ10851,"Promoter

M/s Uttam Steels & Associates { Consortium) throug
ANSAL HI-TECH TOWNSHIPS LTD",Gautam Buddha Nagar,Residential,,,,,N/A (Plotted),,,,,,,,,,,
PLOT ZONE V (1B),UPRERAPRJ10825,"Promoter

M/s Uttam Steels & Associates { Consortium) throug
ANSAL HI-TECH TOWNSHIPS LTD",Gautam Buddha Nagar,Residential,,,,,N/A (Plotted),,,,,,,,,,,
PRATEEK CANARY,UPRERAPRJ591510,"Promoter

STRONGBIZ PROPBUILD PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PRATEEK EDIFICE,UPRERAPRJ2683,"Promoter

PRATEEK INFRAPROJECTS INDIA PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Presithum Phase II,UPRERAPRJ17502,"Promoter

PRESIDENCY INFRAHEIGHTS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PRESITHUM-PRESIDENCY HEIGHTS (Ph-I),UPRERAPRJ10984,"Promoter

PRESIDENCY INFRAHEIGHTS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PRIDEVILLE,UPRERAPRJ545875,"Promoter

Imperia Structures Ltd
IMPERIA STRUCTURES LTD",Gautam Buddha Nagar,Residential,,,,,,,,4 BHK,,,,,,https://www.99acres.com/imperia-prideville-jalvayu-vihar-greater-noida-npxid-r341641,https://www.99acres.com/imperia-faqs-prideville-jalvayu-vihar-greater-noida-npxid-r341641,DDG Snippet
"PRIME TOWER, LE GARDEN (Tower P)",UPRERAPRJ14530,"Promoter

Ajnara Realtech Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Pristine Avenue,UPRERAPRJ6684,"Promoter

M/s Geotech Homz Pvt. ltd.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PROVINCE D OLYMPIA,UPRERAPRJ556048/03/2025,"Promoter

ATS Realty Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Purvanchal Royal City,UPRERAPRJ3137,"Promoter

PURVANCHAL PROJECTS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PURVANCHAL ROYAL CITY (PHASE-II),UPRERAPRJ295195,"Promoter

PURVANCHAL PROJECTS PRIVATE LIMITED
PURVANCHAL PROJECTS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
PURVANCHAL SUNBLISS PLOT NO. GH-1A/1 SECTOR 22D YEIDA,UPRERAPRJ746863/04/2025,"Promoter

PURVANCHAL PROJECTS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,N/A (Plotted),,,,,,,,,,,
Raj Hans Residency (Phase-1),UPRERAPRJ6440,"Promoter

Raj Hans infratech Private Limited",Gautam Buddha Nagar,Residential,,,,5.45 acres,,,,3 BHK,,,,,,https://www.99acres.com/rajhans-residency-sector-1-greater-noida-west-greater-noida-npxid-r8444,https://www.99acres.com/rajhans-faqs-residency-sector-1-greater-noida-west-greater-noida-npxid-r8444,DDG Snippet
Raj Residency / Raksha Addela,UPRERAPRJ6497,"Promoter

JINDAL PROMOTERS PVT LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
